
========== 44-ФЗ: всего 220 ==========
Актуальные + публичные: 126

### BTK  (2 типов)
  fcsStandardContract                            Типовой контракт, типовые условия контракта
  fcsStandardContractInvalid                     Сведения о недействительности типового контракта, типовых условий контракта

### EA  (16 типов)
  DP_IZVPOL                                      Извещение о получении
  DP_IZVUCH                                      Извещение о принятии к учету
  DP_KVITIZMSTATUS                               Квитанция об изменении статуса документа
  DP_PDOTPR                                      Подтверждение даты отправки документа
  DP_PDPOL                                       Подтверждение даты получения документа
  DP_PROTZ                                       Запрос на отзыв предложения об аннулировании документа
  DP_UVOBZH                                      Уведомление о намерении обжаловать мотивированный отказ
  DP_UVUTOCH                                     Уведомление об уточнении
  ON_AKTREZRABP                                  Акт по стройке (титул продавца)
  ON_AKTREZRABZ                                  Акт по стройке (титул покупателя)
  ON_NKORSCHFDOPPOK                              Универсальный корректировочный документ (титул покупателя)
  ON_NKORSCHFDOPPR                               Универсальный корректировочный документ (титул продавца)
  ON_NSCHFDOPPOK                                 Унивесальный предаточный документ (титул покупателя)
  ON_NSCHFDOPPR                                  Унивесальный предаточный документ (титул продавца)
  elActUnstructuredCustomerTitle                 Документ о приемке в неструктурированной форме (информация заказчика)
  elActUnstructuredSupplierTitle                 Документ о приемке в неструктурированной форме (информация поставщика)

### LKOK  (8 типов)
  control99BeginMessage                          Сообщение о начале контроля
  control99NoticeCompliance                      Уведомление о соответствии контролируемой информации
  control99NotificationExtract                   Информация из извещения (конкурсной документации) (ПРИЗ), направляемая на контроль по 99 статье в орган контроля
  control99ProtocolMismatch                      Протокол о несоответствии контролируемой информации
  control99ProtocolMismatchReductFunds           Протокол о несоответствии контролируемой информации в связи с уменьшением средств
  control99RefusalMessage                        Сообщение об отказе в принятии на контроль
  control99TenderPlan2020Extract                 Информация из плана-графика закупок с 01.01.2020, направляемая на контроль по 99 статье в орган контроля
  control99UniversalExtract                      Универсальная выжимка, направляемая на контроль в орган контроля согласно приказу Минфина России от 30.10.2020 N 258н и ПП РФ от 6 августа 2020 г. N 119

### OZ  (10 типов)
  fcsCustomerReportBigProjectMonitoring          Отчет по мониторингу реализации крупных проектов с государственным участие
  fcsCustomerReportBigProjectMonitoringInvalid   Информация о недействительности сведений отчета об исполнении контракта (результатах отдельного этапа исполнения контракта)
  fcsCustomerReportContractExecution             Отчет об исполнении контракта (результатах отдельного этапа исполнения контракта)
  fcsCustomerReportContractExecutionInvalid      Информация о недействительности сведений отчета об исполнении контракта (результатах отдельного этапа исполнения контракта)
  fcsCustomerReportRusProductsPurchasesVolume    Отчет об объеме закупок российских товаров
  fcsCustomerReportRusProductsPurchasesVolumeInvalid  Информация о недействительности сведений отчета об объеме закупок у субъектов малого предпринимательства, социально ориентированных некоммерческих организаций
  fcsCustomerReportSingleContractor              Отчет с обоснованием закупки у единственного поставщика (подрядчика, исполнителя)
  fcsCustomerReportSingleContractorInvalid       Информация о недействительности сведений отчета с обоснованием закупки у единственного поставщика (подрядчика, исполнителя)
  fcsCustomerReportSmallScaleBusiness            Отчет об объеме закупок у субъектов малого предпринимательства, социально ориентированных некоммерческих организаций
  fcsCustomerReportSmallScaleBusinessInvalid     Информация о недействительности сведений отчета об объеме закупок у субъектов малого предпринимательства, социально ориентированных некоммерческих организаций

### PPRF615  (12 типов)
  pprf615ActCancel                               Информация об отмене акта по ПП РФ № 615
  pprf615ActDeviation                            Акт признания участника уклонившимся от заключения контракта по ПП РФ № 615
  pprf615ActEvasion                              Акт отказа от заключения контракта по ПП РФ № 615
  pprf615Clarification                           Разъяснение положений документации по ПП РФ № 615
  pprf615ClarificationRequest                    Запрос ЭП о даче разъяснений положений документации по ПП РФ № 615
  pprf615NotificationCancel                      Извещение об отказе от проведения закупки
  pprf615NotificationEF                          Извещение о проведении ЭА (электронный аукцион) по ПП РФ № 615
  pprf615NotificationPO                          Извещение о проведении ПО (предварительный отбор) по ПП РФ № 615
  pprf615ProtocolCancel                          Информация об отмене протокола по ПП РФ № 615
  pprf615ProtocolEF1                             Протокол рассмотрения заявок на участие в электронном аукционе по ПП РФ № 615
  pprf615ProtocolEF2                             Протокол проведения электронного аукциона по ПП РФ № 615
  pprf615ProtocolPO                              Протокол предварительного отбора в ПО по ПП РФ № 615

### PRIZ  (27 типов)
  epClarificationDoc                             Разъяснения положений извещения об осуществлении закупки
  epClarificationDocRequest                      Запрос о даче разъяснений положений документации
  epClarificationResult                          Разъяснение результатов
  epClarificationResultRequest                   Запрос о даче разъяснений положений извещения об осуществлении закупки
  epNoticeApplicationCancel                      Уведомление об отзыве заявки участником
  epNoticeApplicationsAbsence                    Уведомление об отсутствии заявок
  epNotificationCancel                           Извещение об отмене определения поставщика (подрядчика, исполнителя) в электронной форме
  epNotificationCancelFailure                    Отмена извещения об отмене определения поставщика (подрядчика, исполнителя) в электронной форме
  epNotificationEF2020                           Извещение о проведении ЭА20 (аукцион в электронной форме с даты начала действия оптимизационного законопроекта 44-ФЗ)
  epNotificationEOK2020                          Извещение о проведении ЭОК20 (открытый конкурс в электронной форме c даты начала действия оптимизационного законопроекта 44-ФЗ)
  epNotificationEZK2020                          Извещение о проведении ЭЗК20 (запрос котировок в электронной форме c 01.04.2021 года)
  epNotificationEZT2020                          Извещение о проведении ЭЗТ (Закупка товаров согласно ч.12 ст. 93 № 44-ФЗ)
  epProtocolCancel                               Информация об отмене протокола электронной процедуры
  epProtocolDeviation                            Протокол признания участника уклонившимся от заключения контракта с 01.04.2021
  epProtocolEF2020Final                          Протокол подведения итогов определения поставщика (подрядчика, исполнителя) ЭА20 (аукцион в электронной форме c даты начала действия оптимизационного законопроекта 44-ФЗ)
  epProtocolEF2020SubmitOffers                   Протокол подачи ценовых предложений ЭА20 (аукцион в электронной форме c даты начала действия оптимизационного законопроекта 44-ФЗ)
  epProtocolEOK2020Final                         Протокол подведения итогов ЭOK20 (открытый конкурс в электронной форме с даты начала действия оптимизационного законопроекта 44-ФЗ)
  epProtocolEOK2020FirstSections                 Протокол рассмотрения и оценки первых частей заявок на участие в ЭOK20 (открытый конкурс в электронной форме с даты начала действия оптимизационного законопроекта 44-ФЗ)
  epProtocolEOK2020SecondSections                Протокол рассмотрения и оценки вторых частей заявок на участие в ЭOK20 (открытый конкурс в электронной форме с даты начала действия оптимизационного законопроекта 44-ФЗ)
  epProtocolEZK2020Final                         Протокол подведения итогов определения поставщика (подрядчика, исполнителя) ЭЗК20 (запрос котировок в электронной форме c 01.04.2021 года). Применяется для извещений, первая версия которых размещена после даты начала действия оптимизационного законопроекта 44-ФЗ
  epProtocolEZT2020Final                         Протокол подведения итогов определения поставщика ЭЗТ (Закупка товаров согласно ч.12 ст. 93 № 44-ФЗ). Применяется для извещений, первая версия которых размещена после даты начала действия оптимизационного законопроекта 44-ФЗ
  epProtocolEvDevCancel                          Информация об отмене протокола ПОК/ППУ с 01.04.2021
  epProtocolEvasion                              Протокол об отказе от заключения контракта с 01.04.2021
  fcsNotification111                             Извещение о проведении закупки способом определения поставщика (подрядчика, исполнителя), установленным Правительством Российской Федерации в соответствии со ст. 111 Федерального закона № 44-ФЗ
  fcsNotificationCancel                          Извещения об отмене определения поставщика (подрядчика, исполнителя)
  fcsNotificationCancelFailure                   Отмена извещения об отмене определения поставщика (подрядчика, исполнителя) (в части лота);
  fcsPurchaseDocument                            Информация о документе закупки

### RD615  (3 типов)
  pprf615Contract                                Сведения о договоре о проведении капитального ремонта по ПП РФ № 615
  pprf615ContractProcedure                       Сведения об исполнении/расторжении договора о проведении капитального ремонта по ПП РФ № 615
  pprf615ContractProcedureCancel                 Отмена информации об исполнении/расторжении договора о проведении капитального ремонта по ПП РФ № 615

### RDI  (2 типов)
  fcsAddInfo                                     Дополнительная информация о закупках, контрактах
  fcsAddInfoInvalid                              Информация о недействительности дополнительной информации о закупках, контрактах

### REC  (1 типов)
  cpProtocolDelta                                Протокол изменений электронного контракта

### RGK  (5 типов)
  contract                                       Информация о заключенном контракте
  contractAvailableForElAct                      Квитанция о доступности формирования документов электронного актирования по контракту
  contractCancel                                 Информация об анулировании контракта
  contractProcedure                              Информация об исполнении (расторжении) контракта
  contractProcedureCancel                        Информация об отмене исполнения (расторжения) контракта

### RJ  (6 типов)
  complaint                                      Информация по жалобе
  complaintCancel                                Информация об отзыве жалобы
  complaintTransfer                              Информация о передаче жалобы по подведомственности / ведомственной принадлежности
  parElectronicComplaintAccept                   Информация о принятии к рассмотрению электронной жалобы, сформированной в ЛКП
  parElectronicComplaintRefusal                  Информация об отказе в рассмотрении электронной жалобы, сформированной в ЛКП
  tenderSuspension                               Информация о приостановке определения поставщика (подрядчика, исполнителя) в части заключения контракта

### RKPO  (3 типов)
  pprf615QualifiedContractor                     Сведения о квалифицированной подрядной организации для включения в РКПО по ПП РФ № 615
  pprf615QualifiedContractorExclude              Сведения об исключении квалифицированной подрядной организации из РКПО по ПП РФ № 615
  pprf615QualifiedContractorExcludeCancel        Сведения об отмене исключения квалифицированной подрядной организации из РКПО по ПП РФ № 615

### RNP  (3 типов)
  unfairSupplier2022                             Запись Реестра недобросовестных поставщиков (РНП) с 01.04.2022
  unfairSupplier2022Exclude                      Исключение записи Реестра недобросовестных поставщиков (РНП) с 01.04.2022
  unfairSupplierIKZ                              Запись Реестра недобросовестных поставщиков (РНП) с 01.04.2022 (Запись РНПО по ПП РФ № 615) со сведениями об ИКЗ

### RPEC  (8 типов)
  cemContractExecutionDocAcceptance              Сведения об исполнении контракта по документу о приемке
  cemContractExecutionDocAcceptanceCancel        Отмена сведений об исполнении контракта по документу о приемке
  cpContractSign                                 Подписанный контракт
  cpNoticeDeviation                              Уведомление об уклонении
  cpNoticeEvasion                                Уведомление об отказе от заключения контракта
  cpProcedureCancel                              Извещение об отмене процедуры заключения контракта
  cpProcedureCancelFailure                       Отмена извещения об отмене процедуры заключения контракта
  cpRefusalConcludeContract                      Отказ участника закупки от заключения контракта

### RPGZ  (1 типов)
  tenderPlan2020                                 План-график закупок с 01.01.2020

### RPNZ  (2 типов)
  fcsRegulationRules                             Версия правил нормирования в сфере закупок
  fcsRegulationRulesInvalid                      Сведения о недействительности правил нормирования в сфере закупок

### RRA  (1 типов)
  fcsAuditResult                                 Обобщенная информация о результатах деятельности органа аудита в сфере закупок

### RRK  (4 типов)
  checkResult                                    Результат контроля
  checkResultCancel                              Информация об отмене результата контроля
  eventResult                                    Результат контроля
  eventResultCancel                              Информация об отмене результата контроля

### RVP  (6 типов)
  unplannedCheck                                 Информация по внеплановой проверке
  unplannedCheckCancel                           Информация об отмене проведения внеплановой проверки
  unplannedCheckTenderSusp                       Информация о приостановке определения поставщика (подрядчика, исполнителя) в части заключения контракта по внеплановой проверке
  unplannedEvent                                 Информация по внеплановому контрольному мероприятию
  unplannedEventCancel                           Информация об отмене проведения внепланового контрольного мероприятия
  unplannedEventSuspension                       Информация о приостановке/возобновлении внепланового контрольного мероприятия

### UR  (4 типов)
  contractProcedureUnilateralRefusal             Решение об одностороннем отказе от исполнения контракта, сформированное заказчиком
  contractProcedureUnilateralRefusalCancel       Извещение об отмене решения об одностороннем отказе от исполнения контракта, сформированное заказчиком
  parContractProcedureUnilateralRefusal          Решение об одностороннем отказе от исполнения контракта, сформированное поставщиком
  parContractProcedureUnilateralRefusalCancel    Извещение об отмене решения об одностороннем отказе от исполнения контракта, сформированное поставщиком

### ZC  (2 типов)
  fcsRequestForQuotation                         Версия запроса цен товаров, работ, услуг
  fcsRequestForQuotationCancel                   Отмена запроса цен товаров, работ, услуг

========== 223-ФЗ: всего 110 ==========
Актуальные + публичные: 93

### IPVP223  (1 типов)
  volumeInnovPurchase                            Годовой отчет о закупке инновационной продукции, высокотехнологичной продукции

### MSP223  (1 типов)
  volumePurchase                                 Годовой отчет о закупке у МСП

### OD223  (2 типов)
  purchaseContractAccount                        Отчетность по договорам
  purchaseContractAccountCutted                  Отчетность о договорах (сокращенная информация)

### POZ223  (1 типов)
  orderClause                                    Положение о закупке

### RD223  (8 типов)
  contract                                       Договор
  contractCancellation                           Сведения о расторжении договора
  contractCancellationInformation                Сведения о факте расторжения договора
  contractCutted                                 Договор (сокращенная информация)
  performanceContract                            Сведения об исполнении договора
  performanceContractInformation                 Сведения о факте исполнения договора
  subcontractorInfo                              Сведения о договоре с субподрядчиками
  subcontractorInfoCutted                        Сведений о договоре с субподрядчиком (сокращенная информация)

### RI223  (67 типов)
  biddingTimeInfo                                Сведения о времени проведения торгов
  changeRequirements                             Уточненные требования
  explanation                                    Разъяснения положений документации закупки
  explanationRequest                             Запрос заказчика о разъяснении положений заявки
  protocolCancellation                           Отмена протокола
  protocolLotAllocation                          Сведения по выделению лотов в отдельный протокол
  purchaseContract                               Сведения о договорах
  purchaseLotCancellation                        Отмена лотов закупки
  purchaseNotice                                 Извещение о закупке «Иной способ» (приглашение к проведению закупки)
  purchaseNoticeAE                               Извещение о закупке «Открытый аукцион в электронной форме (до 01.07.18)»
  purchaseNoticeAE94FZ                           Извещение о закупке «Открытый аукцион в электронной форме (по 94-ФЗ) (до 01.07.18)»
  purchaseNoticeAESMBO                           Извещение о закупке «Аукцион в ЭФ, участниками которого могут являться только субъекты МСП»
  purchaseNoticeEP                               Извещение о закупке «Закупка у единственного поставщика (подрядчика, исполнителя) (до 01.07.18)»
  purchaseNoticeKESMBO                           Извещение о закупке «Конкурс в ЭФ, участниками которого могут являться только субъекты МСП»
  purchaseNoticeOA                               Извещение о закупке «Открытый Аукцион (до 01.07.18)»
  purchaseNoticeOK                               Извещение о закупке «Открытый конкурс (до 01.07.18)»
